_id,company_id
00636df6-f722-495d-98eb-aa620c0bd4a1,2237966
007bfc28-6747-4153-8f26-02786d8fec97,1275831
007bfc28-6747-4153-8f26-02786d8fec97,3000570
007bfc28-6747-4153-8f26-02786d8fec97,1653862
007bfc28-6747-4153-8f26-02786d8fec97,19664
007bfc28-6747-4153-8f26-02786d8fec97,56350
007bfc28-6747-4153-8f26-02786d8fec97,304300
007bfc28-6747-4153-8f26-02786d8fec97,15306661
007bfc28-6747-4153-8f26-02786d8fec97,15314556
007bfc28-6747-4153-8f26-02786d8fec97,15341557
007cbf39-e0a3-4cdd-8796-85b5bb807c66,15263670
007e5940-5206-4147-b44d-a81e9fc3e1a7,15175216
0085cadb-382c-413d-9360-f71c20b00dda,35457034
0085cadb-382c-413d-9360-f71c20b00dda,24919
0085cadb-382c-413d-9360-f71c20b00dda,137338
0085cadb-382c-413d-9360-f71c20b00dda,892346
0085cadb-382c-413d-9360-f71c20b00dda,15175798
0085cadb-382c-413d-9360-f71c20b00dda,15176072
0085cadb-382c-413d-9360-f71c20b00dda,15242980
0085cadb-382c-413d-9360-f71c20b00dda,15193591
0085cadb-382c-413d-9360-f71c20b00dda,15267113
0085cadb-382c-413d-9360-f71c20b00dda,15318105
009e6273-4cad-40d7-8da3-23ef2bc7e08d,88612
009e6273-4cad-40d7-8da3-23ef2bc7e08d,13633
009e6273-4cad-40d7-8da3-23ef2bc7e08d,206006
009e6273-4cad-40d7-8da3-23ef2bc7e08d,325551
009e6273-4cad-40d7-8da3-23ef2bc7e08d,15248183
00a1d702-5cab-4c07-ba9e-3463b5267df2,24748
00a1d702-5cab-4c07-ba9e-3463b5267df2,167280
00a1d702-5cab-4c07-ba9e-3463b5267df2,68529
00a1d702-5cab-4c07-ba9e-3463b5267df2,113254
00a1d702-5cab-4c07-ba9e-3463b5267df2,800183
00a1d702-5cab-4c07-ba9e-3463b5267df2,10161388
00a1d702-5cab-4c07-ba9e-3463b5267df2,15208991
00a1d702-5cab-4c07-ba9e-3463b5267df2,15221726
00a1d702-5cab-4c07-ba9e-3463b5267df2,15315097
00a1d702-5cab-4c07-ba9e-3463b5267df2,15295709
00a1d702-5cab-4c07-ba9e-3463b5267df2,15272634
00a1d702-5cab-4c07-ba9e-3463b5267df2,15370279
00a4ff98-e514-4ba1-ade0-671d003d0492,58861965
00a4ff98-e514-4ba1-ade0-671d003d0492,487613
00a4ff98-e514-4ba1-ade0-671d003d0492,51941
00a4ff98-e514-4ba1-ade0-671d003d0492,428312
